Date,LUXXX,MSCI ARGENTINA,BLP ORIENTE MEDIO,MSCI AUSTRALIA,MSCI AUSTRIA,MSCI BELGIUM,MSCI BRAZIL,MSCI CANADA,MSCI CHINA,MSCI DENMARK,MSCI EM ASIA,MSCI EM EU-MIDE-AFRICA,MSCI EM EUROPE,MSCI EM LATIN AMERICA,MSCI FINLAND,MSCI FRANCE,MSCI GERMANY,MSCI HONG KONG,MSCI INDIA,MSCI ITALY,MSCI JAPAN,MSCI KOREA,MSCI MEXICO,MSCI NETHERLANDS,MSCI NEW ZEALAND,MSCI NORWAY,MSCI PERU,MSCI RUSSIA,MSCI SINGAPORE,MSCI SOUTH AFRICA,MSCI SPAIN,MSCI SWEDEN,MSCI SWITZERLAND,MSCI UK,MSCI USA
1-Jan-16,1390.716,2376.29,3525.915,1068.79,106.7,105.38,1036.23,1663.27,59.47,8566.71,403.66,210.209,244.42,1829.81,120.63,131.1,140.65,12080.11,987.16,61.26,938.4,526.86,5262.19,120.08,115.77,2373.17,811.96,404.73,1507.8101,1255.75,108.4,11136.65,1148.37,1818.4,1949.7
8-Jan-16,1291.267,2260.85,3280.6683,1005.56,97.66,99.35,952.01,1586.18,54.63,8183,377.65,194.927,231.93,1674.47,115.86,122.85,129.12,11438.23,945.87,56.94,876.35,510.54,4757.8,112.38,113.67,2209.38,751.09,388.05,1437.66,1177.76,101,10389.93,1075.3,1722,1831.88
15-Jan-16,1257.086,2217.5,3118.2981,985.38,93.54,97.32,904.64,1541.08,51.54,7755.73,363.18,181.941,217.9,1625.73,112.37,119.45,125.17,11063.73,927.24,54.86,849.09,500.01,4738.23,110.37,113.92,2095.6,720.23,344.45,1372.98,1133.72,97.34,10042.32,1056.01,1692.43,1789.56
22-Jan-16,1254.167,2281.98,2935.0677,985.87,95.79,100.73,879.17,1582.1,51.15,8035.69,363.1,185.011,221.47,1620.67,115.08,123,128.08,10654.83,919.19,54.36,833.57,501.7,4769.16,114.75,112.2,2173.55,745.96,367.44,1350.05,1160.48,99.21,10469.07,1076.48,1719.61,1814.12
29-Jan-16,1298.24,2462.19,3134.084,1005.56,96.93,103.05,958.97,1638.84,52.13,8211.17,374.07,201.286,237.29,1744.05,116.55,125.61,128.32,11002.78,941.64,53.16,866.68,508.22,5083.75,117.19,112.43,2214.88,825.18,400.93,1375.1,1239.58,100.06,10432.42,1087.17,1774.4,1843.88
5-Feb-16,1274.632,2478.91,3230.4914,1000.92,94.41,96.23,982.59,1626.67,50.88,7590.21,371.95,201.061,234.77,1751.62,107.28,119.84,121.85,10728.97,933.33,49.09,828.93,510.36,4994.36,111.27,113.12,2224.52,833.32,388,1378.91,1236.8,96.59,10259.55,1042.12,1706.88,1784.73
12-Feb-16,1187.171,2396.77,3126.7548,957.15,91.51,92.88,950.57,1576.9,48.16,7274.24,357.16,194.282,223.33,1688.04,100.73,113.79,117.52,10473.28,873.94,47.22,723.88,491.8,4696.93,104.95,110.15,2049.32,894.74,366.56,1335.27,1204.16,90.02,9901.4,1001.93,1666.26,1768.52
19-Feb-16,1269.245,2558.24,3235.5655,997.23,95.52,95.56,968.53,1632.27,51.7,7697.9,372.3,202.474,232.1,1751.95,106.66,120.22,123.16,10905.3,901.51,48.01,783.37,514.2,5012.19,110.4,113.62,2154.21,871.74,385.44,1399.61,1221.26,92.83,10445.35,1032.03,1734.34,1820.17
26-Feb-16,1296.604,2728.83,3256.9893,979.26,94.69,94.64,984.53,1628.94,51.42,7971.88,371,201.758,238.08,1777.57,108.73,122.52,124.52,11086.69,885.44,49.82,794.35,512.28,5080.7,113.75,116.76,2219.57,908.34,401.12,1393.55,1233.61,94.71,10564.06,1035.66,1777.72,1850
4-Mar-16,1437.405,2677.79,3363.5448,1025.81,99.26,97.16,1233.82,1677.77,54.08,8270.47,390.33,218.467,254.95,2039.7,109.71,126.46,128.49,11511.49,933.38,52.22,834.01,524.56,5370.03,117.38,120.64,2310.91,991.42,436.78,1492.12,1306.8,100.24,10816.48,1050.76,1809.04,1900.16
11-Mar-16,1439.107,2648.91,3436.8369,1041.85,102.07,97.09,1283.36,1721.53,54.28,8203.13,394.01,222.802,263.83,2080.59,108.35,127.45,128.53,11473.93,938.57,54.29,823.05,529.16,5381.29,118.55,121.52,2292.3,991.28,447.9,1487.24,1295.32,103.9,10926.95,1052.96,1790.17,1920.64
18-Mar-16,1460.562,2643.91,3449.2402,1044.35,103.77,97.46,1315.5,1716.28,55.93,8046.05,405.39,232.965,276.57,2149.8,110.8,126.86,130.07,11762.58,944.4,53.11,811.61,536.12,5598.08,118.97,121.92,2306.14,1035.43,473.04,1534.11,1370.84,102.89,10739,1030.15,1804.76,1946.02
25-Mar-16,1421.769,2621.4,3408.6476,1020.86,98.66,97.38,1254.86,1698.39,55.21,8018.52,401.41,224.27,266.83,2080.52,107.31,123.38,128.83,11644.83,959.08,51.75,825.16,533.92,5516.03,117.69,122.6,2284.59,988.41,451.63,1501.17,1331.46,99.67,10425.83,1023.47,1777.78,1933.49
1-Apr-16,1460.223,2546.36,3399.0633,1001.17,100.31,97.9,1322.35,1705.23,55.97,8003.64,405.29,231.296,273.57,2161.32,106.03,123.07,128.24,11779.69,953.31,50.48,784.44,530.89,5643.19,116.95,122.69,2207.53,1017.85,457.44,1487.9,1327.93,97.13,10543.33,1014.84,1789.06,1969.88
8-Apr-16,1441.804,2430.4,3379.3308,988.07,98.73,97.1,1297.01,1696.28,55.73,8081.66,401.22,230.58,274.95,2099.54,105.95,122.34,125.84,11801.41,936.89,49.67,775.86,528.43,5386.94,116.19,123.93,2175.01,992.13,470.26,1478.3101,1323.33,95.3,10573.54,1031.19,1805.18,1946.72
15-Apr-16,1507.955,2667.47,3463.8986,1035.96,103.07,100.72,1406.84,1728.52,58.37,8076.1,414.57,238.236,280.64,2222.31,108.89,127.48,130.97,12162.22,970.61,51.75,821.75,543.18,5522.98,119.84,126.1,2251.5,1081.24,480.01,1540.6899,1359.15,100.59,10690.62,1055.02,1847.5,1978.05
22-Apr-16,1512.926,2766.63,3506.1825,1053.65,106.44,101.7,1372.51,1761.13,57.88,8218.81,412.74,241.546,287.13,2205.03,107.23,129.64,134.85,12263.92,974.81,52.95,852.01,542.67,5573.42,119.85,126.57,2308.9,1115.83,499.05,1549.77,1342.9,105.49,10785.66,1066.74,1841.24,1989.46
